difficulty,winrate,pickPolicy,carryCap,run,period,netWorth
1,1,synergy,off,5,9,-4611.55
1,1,synergy,off,5,10,-4456.35
1,1,synergy,off,5,11,-4561.97
1,1,synergy,off,5,12,-3579.13
1,1,synergy,off,5,13,-2824.37
1,1,synergy,off,5,14,-1928.31
1,1,synergy,off,5,15,-256.83
1,1,synergy,off,5,16,1100.67
1,1,synergy,off,5,17,3049.91
1,1,synergy,off,5,18,3382.86
1,1,synergy,off,5,19,35468.80
1,1,synergy,off,5,20,19113.12
1,1,synergy,off,5,21,18213.12
1,1,synergy,off,5,22,14208.12
1,1,synergy,off,5,23,15493.12
1,1,synergy,off,5,24,20334.99
1,1,synergy,off,5,25,21135.62
1,1,synergy,off,5,26,21070.62
1,1,synergy,off,5,27,23665.62
1,1,synergy,off,5,28,23708.25
1,1,synergy,off,5,29,25071.50
1,1,synergy,off,5,30,29215.29
1,1,synergy,off,5,31,36686.84
1,1,synergy,off,5,32,34267.54
1,1,synergy,off,5,33,39282.54
1,1,synergy,off,5,34,49065.04
1,1,synergy,off,5,35,63536.05
1,1,synergy,off,5,36,82293.48
1,1,synergy,off,5,37,85896.84
1,1,synergy,off,5,38,78530.44
1,1,synergy,off,5,39,139113.92
1,1,synergy,off,5,40,95523.92
1,1,synergy,off,6,1,-4980.00
1,1,synergy,off,6,2,-4979.97
1,1,synergy,off,6,3,-4972.21
1,1,synergy,off,6,4,-4974.35
1,1,synergy,off,6,5,-4520.28
1,1,synergy,off,6,6,-3734.20
1,1,synergy,off,6,7,-2986.70
1,1,synergy,off,6,8,-2486.45
1,1,synergy,off,6,9,-2584.14
1,1,synergy,off,6,10,3440.30
1,1,synergy,off,6,11,3877.08
1,1,synergy,off,6,12,372.08
1,1,synergy,off,6,13,515.83
1,1,synergy,off,6,14,2085.58
1,1,synergy,off,6,15,5803.02
1,1,synergy,off,6,16,4722.72
1,1,synergy,off,6,17,6858.56
1,1,synergy,off,6,18,8551.87
1,1,synergy,off,6,19,11359.19
1,1,synergy,off,6,20,22246.57
1,1,synergy,off,6,21,22714.93
1,1,synergy,off,6,22,24330.28
1,1,synergy,off,6,23,33382.12
1,1,synergy,off,6,24,54090.18
1,1,synergy,off,6,25,59541.18
1,1,synergy,off,6,26,60152.39
1,1,synergy,off,6,27,61885.07
1,1,synergy,off,6,28,61665.07
1,1,synergy,off,6,29,62320.45
1,1,synergy,off,6,30,64525.45
1,1,synergy,off,6,31,71576.59
1,1,synergy,off,6,32,67464.72
1,1,synergy,off,6,33,74042.72
1,1,synergy,off,6,34,75379.82
1,1,synergy,off,6,35,79195.27
1,1,synergy,off,6,36,80023.47
1,1,synergy,off,6,37,87987.29
1,1,synergy,off,6,38,90651.67
1,1,synergy,off,6,39,91594.92
1,1,synergy,off,6,40,97052.29
1,1,synergy,off,7,1,-4980.00
1,1,synergy,off,7,2,-4900.45
1,1,synergy,off,7,3,-4860.12
1,1,synergy,off,7,4,-4633.68
1,1,synergy,off,7,5,-4230.16
1,1,synergy,off,7,6,-4567.49
1,1,synergy,off,7,7,-4991.63
1,1,synergy,off,7,8,-4991.03
1,1,synergy,off,7,9,-4985.98
1,1,synergy,off,7,10,-4979.24
1,1,synergy,off,7,11,-4977.98
1,1,synergy,off,7,12,-4975.15
1,1,synergy,off,7,13,-4932.71
1,1,synergy,off,7,14,-4752.31
1,1,synergy,off,7,15,-4768.12
1,1,synergy,off,7,16,-4749.77
1,1,synergy,off,7,17,-3539.54
1,1,synergy,off,7,18,-772.23
1,1,synergy,off,7,19,4430.75
1,1,synergy,off,7,20,5361.50
1,1,synergy,off,7,21,23392.50
1,1,synergy,off,7,22,23402.50
1,1,synergy,off,7,23,23520.25
1,1,synergy,off,7,24,160611.83
1,1,synergy,off,7,25,160801.83
1,1,synergy,off,7,26,162124.95
1,1,synergy,off,7,27,172514.93
1,1,synergy,off,7,28,171962.03
1,1,synergy,off,7,29,167013.04
1,1,synergy,off,7,30,166873.04
1,1,synergy,off,7,31,183021.04
1,1,synergy,off,7,32,177732.76
1,1,synergy,off,7,33,176118.56
1,1,synergy,off,7,34,220252.66
1,1,synergy,off,7,35,223609.54
1,1,synergy,off,7,36,211504.54
1,1,synergy,off,7,37,223731.73
1,1,synergy,off,7,38,263806.80
1,1,synergy,off,7,39,273241.80
1,1,synergy,off,7,40,208420.80
1,1,synergy,off,8,1,-4980.00
1,1,synergy,off,8,2,-4978.32
1,1,synergy,off,8,3,-4993.22
1,1,synergy,off,8,4,-4990.76
1,1,synergy,off,8,5,-4989.15
1,1,synergy,off,8,6,-4979.42
1,1,synergy,off,8,7,-4874.56
1,1,synergy,off,8,8,-4334.21
1,1,synergy,off,8,9,-2923.10
1,1,synergy,off,8,10,3640.55
1,1,synergy,off,8,11,3590.55
1,1,synergy,off,8,12,4174.30
1,1,synergy,off,8,13,6528.05
1,1,synergy,off,8,14,6208.05
1,1,synergy,off,8,15,3063.05
1,1,synergy,off,8,16,8866.02
1,1,synergy,off,8,17,32490.48
1,1,synergy,off,8,18,32375.48
1,1,synergy,off,8,19,32709.23
1,1,synergy,off,8,20,15172.98
1,1,synergy,off,8,21,33299.64
1,1,synergy,off,8,22,33014.64
1,1,synergy,off,8,23,36435.89
1,1,synergy,off,8,24,44387.14
1,1,synergy,off,8,25,51119.64
1,1,synergy,off,8,26,55894.84
1,1,synergy,off,8,27,73267.08
1,1,synergy,off,8,28,69030.83
1,1,synergy,off,8,29,123289.58
1,1,synergy,off,8,30,120199.58
1,1,synergy,off,8,31,120344.58
1,1,synergy,off,8,32,118289.58
1,1,synergy,off,8,33,198852.58
1,1,synergy,off,8,34,199274.58
1,1,synergy,off,8,35,200618.58
1,1,synergy,off,8,36,145030.33
1,1,synergy,off,8,37,144280.33
1,1,synergy,off,8,38,252531.58
1,1,synergy,off,8,39,255219.39
1,1,synergy,off,8,40,203791.89
1,1,synergy,off,9,1,-4980.00
1,1,synergy,off,9,2,-4978.85
1,1,synergy,off,9,3,-4971.01
1,1,synergy,off,9,4,-4674.56
1,1,synergy,off,9,5,-4408.89
1,1,synergy,off,9,6,-4143.66
1,1,synergy,off,9,7,-3963.74
1,1,synergy,off,9,8,-3577.31
1,1,synergy,off,9,9,-3888.51
1,1,synergy,off,9,10,-2084.59
1,1,synergy,off,9,11,-1356.83
1,1,synergy,off,9,12,848.00
1,1,synergy,off,9,13,1755.50
1,1,synergy,off,9,14,2723.13
1,1,synergy,off,9,15,2860.63
1,1,synergy,off,9,16,3060.00
1,1,synergy,off,9,17,3934.38
1,1,synergy,off,9,18,5115.53
1,1,synergy,off,9,19,9753.27
1,1,synergy,off,9,20,12309.79
1,1,synergy,off,9,21,11984.79
1,1,synergy,off,9,22,23645.79
1,1,synergy,off,9,23,23670.79
1,1,synergy,off,9,24,9653.79
1,1,synergy,off,9,25,25103.29
1,1,synergy,off,9,26,25213.29
1,1,synergy,off,9,27,29004.29
1,1,synergy,off,9,28,20402.54
1,1,synergy,off,9,29,22369.11
1,1,synergy,off,9,30,60408.94
1,1,synergy,off,9,31,60405.05
1,1,synergy,off,9,32,56090.83
1,1,synergy,off,9,33,61125.69
1,1,synergy,off,9,34,62336.87
1,1,synergy,off,9,35,62769.69
1,1,synergy,off,9,36,67046.80
1,1,synergy,off,9,37,65134.12
1,1,synergy,off,9,38,65331.52
1,1,synergy,off,9,39,72744.79
1,1,synergy,off,9,40,98589.16
1,1,synergy,off,10,1,-4980.00
1,1,synergy,off,10,2,-4980.89
1,1,synergy,off,10,3,-4977.93
1,1,synergy,off,10,4,-4580.33
1,1,synergy,off,10,5,-4127.74
1,1,synergy,off,10,6,-4107.74
1,1,synergy,off,10,7,-3683.74
1,1,synergy,off,10,8,-3673.74
1,1,synergy,off,10,9,-3278.74
1,1,synergy,off,10,10,-2812.21
1,1,synergy,off,10,11,-2875.47
1,1,synergy,off,10,12,-3021.81
1,1,synergy,off,10,13,-1781.41
1,1,synergy,off,10,14,-1421.41
1,1,synergy,off,10,15,-370.13
1,1,synergy,off,10,16,3336.30
1,1,synergy,off,10,17,3614.13
1,1,synergy,off,10,18,3864.70
1,1,synergy,off,10,19,4706.61
1,1,synergy,off,10,20,10784.39
1,1,synergy,off,10,21,11909.38
1,1,synergy,off,10,22,20562.99
1,1,synergy,off,10,23,22582.99
1,1,synergy,off,10,24,15605.11
1,1,synergy,off,10,25,15365.11
1,1,synergy,off,10,26,17000.11
1,1,synergy,off,10,27,20323.87
1,1,synergy,off,10,28,23583.87
1,1,synergy,off,10,29,49514.41
1,1,synergy,off,10,30,57476.91
1,1,synergy,off,10,31,74498.91
1,1,synergy,off,10,32,64403.91
1,1,synergy,off,10,33,66621.41
1,1,synergy,off,10,34,66571.41
1,1,synergy,off,10,35,68275.36
1,1,synergy,off,10,36,71741.25
1,1,synergy,off,10,37,75283.75
1,1,synergy,off,10,38,75588.75
1,1,synergy,off,10,39,85468.75
1,1,synergy,off,10,40,74609.09
1,1,synergy,off,11,1,-4980.00
1,1,synergy,off,11,2,-4965.78
1,1,synergy,off,11,3,-4972.93
1,1,synergy,off,11,4,-4961.20
1,1,synergy,off,11,5,-4947.32
1,1,synergy,off,11,6,-4877.19
1,1,synergy,off,11,7,-4642.11
1,1,synergy,off,11,8,-4642.11
1,1,synergy,off,11,9,-4318.16
1,1,synergy,off,11,10,-2822.66
1,1,synergy,off,11,11,-652.34
1,1,synergy,off,11,12,-429.06
1,1,synergy,off,11,13,28.45
1,1,synergy,off,11,14,6411.33
1,1,synergy,off,11,15,7764.62
